Subject,2026-04,2026-04.1,2026-03,2026-03.1,2026-02,2026-02.1,2026-01,2026-01.1,2025-12,2025-12.1,2025-11,2025-11.1,2025-10,2025-10.1,2025-09,2025-09.1,2025-08,2025-08.1,2025-07,2025-07.1,2025-06,2025-06.1,2025-05,2025-05.1,2025-04,2025-04.1,2025-03,2025-03.1,2025-02,2025-02.1,2025-01,2025-01.1,2024-12,2024-12.1,2024-11,2024-11.1,2024-10,2024-10.1,2024-09,2024-09.1,2024-08,2024-08.1,2024-07,2024-07.1,2024-06,2024-06.1,2024-05,2024-05.1,2024-04,2024-04.1,2024-03,2024-03.1,2024-02,2024-02.1,2024-01,2024-01.1,2023-12,2023-12.1,2023-11,2023-11.1,2023-10,2023-10.1,2023-09,2023-09.1,2023-08,2023-08.1,2023-07,2023-07.1,2023-06,2023-06.1,2023-05,2023-05.1,2023-04,2023-04.1,2023-03,2023-03.1,2023-02,2023-02.1,2023-01,2023-01.1,2022-12,2022-12.1,2022-11,2022-11.1,2022-10,2022-10.1,2022-09,2022-09.1,2022-08,2022-08.1,2022-07,2022-07.1,2022-06,2022-06.1,2022-05,2022-05.1
Statistics,3,2,13,11,3,1,8,6,12,8,9,9,22,22,30,27,17,10,12,6,15,7,15,7,8,7,22,17,22,22,31,25,18,18,9,9,26,26,35,33,15,11,12,9,10,8,6,6,2,2,9,7,11,11,11,9,5,5,7,5,8,7,8,7,7,6,2,2,11,10,7,7,6,6,11,11,10,9,5,4,5,5,4,4,9,9,8,8,13,11,22,18,18,14,12,10
Trigonometry,3,2,17,11,9,6,13,9,23,15,21,19,31,31,36,32,29,15,26,11,26,12,18,7,18,13,33,28,30,30,47,43,24,22,20,19,30,30,42,40,23,18,23,18,21,17,18,15,9,8,15,11,10,9,17,14,7,5,8,8,18,16,10,9,10,7,12,9,12,10,3,3,9,8,13,12,14,12,7,7,5,5,9,9,13,13,10,10,16,13,19,12,25,15,15,12
ACCUPLACER College-Level Math,2,1,6,6,6,5,2,2,,,1,1,1,1,3,3,4,3,4,2,5,2,2,1,2,2,3,3,2,1,4,3,1,1,3,3,2,2,4,3,1,1,2,2,2,1,3,3,5,4,3,2,1,1,2,2,3,3,6,6,5,5,2,2,4,3,3,3,2,1,,,2,2,3,2,3,3,,,,,1,1,2,2,1,1,,,2,2,4,4,3,0
ACCUPLACER QAS,2,1,5,5,6,5,3,3,1,1,2,1,1,1,1,1,4,2,6,3,7,2,3,2,3,3,4,3,3,2,6,4,10,9,4,4,2,2,2,2,1,1,2,2,1,0,2,2,5,4,5,4,5,4,6,4,8,7,4,4,7,7,5,4,5,3,3,3,1,1,2,1,1,1,7,6,3,3,,,,,1,1,2,2,,,1,1,1,1,5,3,4,3
ACCUPLACER Writing,2,2,3,3,3,3,,,,,1,1,,,,,4,3,4,1,4,1,,,1,1,1,1,2,0,3,2,1,1,,,2,2,5,5,1,0,1,1,,,2,1,,,4,3,,,,,3,3,,,3,3,3,3,3,3,2,1,2,2,,,1,0,2,2,1,1,,,,,,,,,,,,,1,1,1,0,1,1
AP Psychology,2,1,5,1,2,1,4,0,7,6,5,5,9,9,14,12,9,6,3,1,9,4,6,2,1,1,5,5,8,7,12,10,4,3,1,1,9,9,8,8,3,2,2,2,4,4,6,5,,,5,3,2,1,7,7,5,4,2,2,7,7,1,0,3,3,3,3,3,2,2,2,,,3,3,1,1,,,1,0,,,2,2,1,1,3,2,5,5,3,1,3,3
AP Research,2,0,3,0,,,2,2,6,4,2,2,4,3,4,4,6,5,2,1,7,3,2,0,,,3,2,3,3,6,5,4,4,5,5,5,4,3,3,4,3,3,3,1,0,3,3,,,6,6,4,4,4,3,1,1,7,5,2,2,4,3,4,4,,,1,1,3,3,1,1,2,2,,,2,2,,,1,1,,,2,2,1,1,4,4,2,2,2,1
American Sign Language,2,0,2,0,2,1,1,0,,,1,1,,,,,1,1,1,0,3,0,1,0,1,1,,,1,1,6,6,,,1,1,2,2,1,1,2,1,2,2,1,0,,,,,1,1,2,2,8,7,1,1,,,,,,,,,,,,,,,1,1,,,1,1,1,1,,,,,,,1,0,,,,,,,3,2
Basic Computer Literacy,2,0,3,0,5,1,6,0,15,5,8,5,12,10,10,8,17,12,10,4,5,2,,,1,1,5,4,11,8,13,12,6,6,5,5,9,9,11,8,6,5,6,6,8,7,6,6,3,3,9,8,11,9,9,8,8,6,6,6,15,14,7,6,9,9,3,1,6,6,2,2,5,3,2,2,5,5,1,1,1,1,3,3,7,6,4,3,3,3,3,3,10,7,4,4
Civics,2,0,6,6,6,3,5,3,6,4,4,3,6,6,5,4,7,6,6,1,5,3,6,1,,,15,11,12,12,25,23,10,9,10,9,10,10,14,12,9,8,8,5,12,9,15,7,2,2,6,5,7,4,9,8,2,1,2,2,4,4,4,1,4,2,3,2,,,2,0,2,1,,,1,1,1,0,2,2,1,1,2,2,3,0,1,1,1,0,2,1,3,3
Coding,2,1,16,8,4,3,9,6,10,6,9,7,8,7,14,12,21,11,9,3,21,10,7,3,8,5,7,6,11,9,19,16,5,5,3,2,10,10,12,8,8,7,9,9,8,8,6,6,6,4,6,6,10,10,7,7,2,2,7,7,4,4,2,2,2,2,4,3,2,2,2,2,2,1,3,3,1,1,1,1,5,5,3,3,4,4,6,6,5,4,9,3,8,5,3,3
College Business,2,1,3,2,4,2,4,2,3,0,2,2,3,3,9,9,8,3,7,4,4,3,4,3,,,9,5,13,12,12,11,5,5,4,4,9,8,8,5,8,8,5,4,4,3,2,2,,,2,1,4,4,5,5,3,3,3,3,6,5,3,2,3,3,5,3,4,4,2,1,2,2,4,4,2,2,2,2,2,1,4,4,6,6,6,6,2,2,7,5,4,3,3,2
College Computer Science,2,0,5,2,3,1,5,5,5,4,12,10,10,9,16,11,15,11,9,3,13,4,7,2,6,5,7,3,9,8,13,11,6,6,5,4,8,6,14,10,7,6,5,5,2,2,3,3,7,6,5,4,8,6,6,6,4,3,6,5,10,9,4,4,5,5,1,1,2,2,2,2,2,2,,,2,2,1,1,4,4,4,4,5,5,2,2,4,3,4,3,3,2,5,5
College Political Science,2,1,1,0,1,0,1,0,1,0,1,0,5,4,3,3,2,2,4,0,3,2,3,2,1,1,7,7,3,3,7,6,2,2,2,1,,,6,6,2,2,1,1,3,2,2,2,,,2,2,2,1,5,4,,,1,0,4,3,3,2,3,2,2,2,1,1,,,,,1,1,1,1,,,,,2,2,,,1,0,,,,,2,1,2,2
College and University Admissions,2,0,8,1,5,2,14,1,13,9,10,9,12,11,12,9,8,8,5,4,5,2,3,1,5,4,12,11,21,20,25,23,22,21,5,4,7,7,19,18,7,6,8,8,6,5,11,9,1,0,8,7,6,6,6,5,3,3,1,1,5,5,8,7,3,3,,,2,2,1,1,1,1,2,2,,,2,2,1,1,3,1,4,4,1,1,1,1,3,1,2,2,2,0
Conversational Spanish,2,1,16,6,7,1,7,0,12,9,13,11,12,10,17,15,11,8,10,6,22,7,17,4,15,10,12,7,17,15,26,22,16,15,15,12,27,22,18,17,11,9,10,7,10,7,12,11,8,7,9,6,14,12,13,10,3,2,10,8,14,14,12,12,10,7,6,4,9,7,4,1,5,4,6,6,5,5,2,1,2,2,4,4,4,4,9,9,6,5,12,10,13,9,12,9
Critical Analysis and Reasoning Skills,2,2,1,0,1,1,1,1,,,1,1,,,4,3,2,2,4,1,2,1,1,0,,,,,4,4,4,3,1,1,,,,,3,3,1,1,,,1,1,1,1,,,1,1,1,1,,,,,,,,,3,3,2,2,1,1,,,1,1,,,1,1,,,,,,,,,,,,,,,1,1,,,,
Environmental Science,2,1,,,1,1,,,5,3,2,2,1,1,4,4,4,2,2,1,4,2,4,2,1,0,8,6,8,8,12,9,5,4,1,1,11,11,12,11,2,2,6,5,6,6,4,4,2,2,2,2,5,5,6,6,2,1,5,5,4,4,1,1,2,1,3,2,2,2,,,3,2,3,3,1,1,1,1,2,2,3,3,,,1,1,5,5,4,3,1,0,1,1
Filmmaking,2,1,2,0,2,0,1,0,,,,,,,3,2,1,0,2,2,2,2,1,1,,,4,3,1,1,,,3,1,,,4,3,1,0,3,3,1,1,1,1,,,,,2,2,,,1,1,,,,,,,1,1,,,,,,,,,,,1,1,,,,,,,1,1,,,,,1,1,1,1,3,2,,
GED,2,1,13,9,3,2,4,2,8,4,2,2,11,11,11,9,14,13,14,8,12,6,13,4,5,5,14,11,15,13,41,34,24,23,12,12,22,20,25,18,13,11,8,5,13,10,14,10,12,10,20,16,21,18,14,13,8,5,8,8,19,18,8,7,15,12,5,5,7,7,3,2,6,5,11,10,6,6,3,2,3,3,4,4,6,6,9,7,7,7,6,5,13,9,15,12
GED Reasoning Through Language Arts,2,1,6,4,2,2,3,2,5,3,2,2,1,1,6,5,9,8,3,1,6,4,7,1,3,3,8,6,8,7,28,24,8,8,6,6,17,16,16,13,6,5,6,3,8,7,9,6,6,4,11,9,7,4,6,5,6,4,4,4,7,6,5,4,5,4,3,3,4,4,1,1,4,3,5,5,2,2,2,1,1,1,2,2,1,1,2,1,4,4,4,3,4,3,5,5
Genetics,2,2,3,1,,,1,0,6,6,3,3,1,1,3,3,6,6,5,3,4,1,2,0,2,1,1,0,2,2,9,7,3,3,,,4,4,4,4,2,2,2,2,3,3,4,3,1,1,2,1,1,1,,,1,1,1,1,,,1,1,2,2,1,1,,,2,2,2,2,2,2,1,1,,,1,1,2,1,1,1,1,1,2,2,3,3,,,1,1
Graphic Design,2,1,4,0,3,2,8,2,3,1,3,3,5,3,8,8,7,5,1,0,3,0,2,1,2,2,4,4,4,4,5,5,3,3,3,3,3,1,4,4,4,2,3,2,1,1,4,3,3,3,1,1,3,3,1,1,2,1,1,1,3,2,3,3,1,1,1,0,,,,,1,1,,,,,1,1,,,2,2,,,2,1,4,4,3,1,3,1,1,1
HSPT Math,2,1,6,6,6,4,3,2,,,1,1,2,2,3,3,3,2,4,3,5,3,2,1,1,1,4,3,,,4,4,,,,,3,3,4,4,3,3,1,1,2,1,3,2,3,2,4,3,4,4,1,1,4,2,1,1,2,2,2,1,3,3,3,3,,,2,2,2,2,5,4,3,3,,,,,4,4,2,2,1,1,2,2,2,2,2,2,3,2
HSPT Quantitative,2,1,5,5,4,3,2,2,,,1,1,2,2,1,1,3,2,2,1,4,2,2,1,1,1,4,3,,,3,3,,,,,2,2,2,2,,,1,1,2,1,2,2,2,1,2,1,1,1,,,3,2,1,1,2,2,1,0,2,2,1,1,,,2,2,1,1,4,4,2,2,,,,,3,3,,,,,,,1,1,,,2,1
HSPT Reading,2,2,4,4,3,3,,,,,,,1,1,2,2,1,1,4,2,3,1,1,0,,,5,3,,,1,1,,,,,3,3,4,4,1,0,1,1,,,3,2,1,1,2,2,1,1,1,1,2,2,,,,,,,1,1,,,1,1,1,1,,,3,3,1,1,1,1,,,,,1,1,,,,,1,1,,,1,1
High School Business,2,1,2,2,4,2,4,2,3,2,2,2,4,4,7,7,9,6,7,5,5,3,5,3,1,1,8,5,15,14,16,16,9,9,5,5,9,8,7,4,8,8,8,7,4,4,4,3,1,1,3,3,6,5,5,5,4,3,2,2,6,6,2,1,4,3,6,5,3,3,1,0,4,3,3,3,2,2,1,1,1,1,5,5,6,6,2,2,1,1,9,6,3,2,4,1
High School Government,2,0,9,6,6,3,13,3,14,8,5,4,8,8,8,6,14,11,17,6,11,6,10,3,2,2,17,14,13,13,31,26,14,12,9,8,12,12,16,13,9,8,8,6,8,6,13,9,4,4,9,8,10,8,15,13,3,2,5,4,6,6,5,3,7,4,4,3,2,2,3,1,5,4,2,2,5,5,3,2,2,2,1,1,2,2,5,1,1,1,4,2,3,2,4,4
High School Level American History,2,0,11,5,6,2,1,0,5,4,10,6,11,9,16,12,14,7,7,2,10,8,15,5,4,3,14,11,9,8,19,17,11,9,7,6,7,6,19,17,3,3,6,3,9,6,12,8,7,7,5,5,8,6,11,9,4,4,1,1,6,5,5,4,1,0,5,2,4,3,2,0,4,3,4,3,4,4,2,1,1,1,1,1,2,2,4,3,2,2,4,3,8,6,6,6
High School Physics,2,0,5,5,1,0,7,6,9,5,16,16,18,18,27,24,21,13,17,5,26,15,14,8,21,13,10,8,13,13,35,33,11,9,14,13,29,28,33,30,26,21,18,13,16,12,18,18,10,10,14,9,13,13,14,11,10,9,23,21,16,15,18,17,16,10,16,11,13,12,10,8,10,8,12,12,14,12,7,7,4,4,9,7,20,20,11,10,16,14,17,13,18,13,19,14
High School World History,2,0,11,4,2,1,3,1,7,6,13,8,20,16,13,9,12,5,7,1,8,7,11,4,3,3,11,8,9,9,14,13,9,6,10,8,9,9,13,13,3,3,5,2,10,7,11,8,3,3,5,5,8,7,7,6,3,2,1,1,6,5,6,5,6,3,5,3,3,2,3,2,3,3,4,3,3,3,3,2,,,1,1,1,1,2,1,4,3,6,5,7,6,3,3
ISEE- Lower Level,2,1,11,8,8,7,4,3,,,1,1,8,8,6,6,8,7,3,0,4,1,4,2,3,2,4,2,2,2,10,8,3,3,1,1,5,4,5,5,3,2,2,1,3,2,4,2,7,5,5,5,9,7,3,3,4,2,2,2,3,3,4,2,5,5,2,2,2,2,1,1,2,2,4,4,3,3,1,1,,,1,1,4,4,1,1,1,1,3,3,,,3,3
ISEE- Middle Level,2,1,11,8,8,6,4,3,,,1,1,5,5,4,4,7,6,2,0,4,1,2,1,2,2,4,2,2,2,8,8,4,4,1,1,5,4,5,5,3,3,2,1,3,2,3,2,6,4,5,5,8,7,3,3,3,2,1,1,3,3,3,1,3,3,1,1,2,2,1,1,2,2,5,5,2,2,1,1,,,2,2,2,2,,,,,3,3,1,0,2,2
ISEE- Upper Level,2,1,11,8,6,5,4,3,,,1,1,4,4,5,5,7,6,2,0,3,1,2,1,1,1,4,2,1,1,5,5,3,3,1,1,4,3,4,4,3,3,2,1,3,2,3,2,5,3,5,5,7,6,1,1,2,2,1,1,3,3,2,0,4,4,1,1,1,1,1,1,1,1,4,4,2,2,1,1,,,2,2,2,2,,,,,3,3,1,0,4,3
ISEE-Lower Level Mathematics Achievement,2,1,5,5,5,4,2,2,,,1,1,2,2,1,1,4,3,3,2,5,3,2,1,1,1,3,2,1,1,4,4,3,3,,,1,1,2,2,3,2,1,1,2,1,2,2,3,2,4,3,7,7,,,3,2,1,1,1,1,2,1,2,2,1,1,1,1,1,1,2,2,4,3,2,2,1,1,,,2,2,2,2,1,1,,,3,3,2,2,4,3
ISEE-Lower Level Quantitative Reasoning,2,1,4,4,4,3,2,2,,,1,1,2,2,1,1,4,3,2,0,4,2,2,1,2,2,3,2,1,1,4,4,1,1,,,1,1,1,1,2,2,2,2,2,1,,,3,2,4,3,4,4,1,1,3,2,1,1,1,1,1,0,2,2,1,1,,,1,1,1,1,3,3,2,2,1,1,,,2,2,2,2,,,,,3,3,,,1,0
ISEE-Lower Level Reading Comprehension,2,2,4,4,3,3,,,,,,,2,2,1,1,4,4,2,0,3,1,1,0,1,0,4,2,3,3,3,3,1,1,,,3,2,2,2,2,1,1,1,2,2,3,2,2,2,3,3,5,4,2,2,2,2,,,1,1,2,1,1,1,1,0,2,2,,,3,2,3,3,1,1,2,2,,,1,1,,,,,,,3,3,,,3,3
ISEE-Middle Level Mathematics Achievement,2,1,5,5,5,4,2,2,,,1,1,2,2,2,2,3,2,1,0,4,2,2,1,1,1,3,2,1,1,4,4,3,3,,,1,1,3,3,2,2,1,1,2,1,2,2,3,2,4,3,5,5,1,1,3,2,1,1,1,1,1,0,2,2,1,1,1,1,1,1,2,2,5,4,2,2,1,1,,,2,2,2,2,,,,,4,3,1,1,3,2
ISEE-Middle Level Quantitative Reasoning,2,1,4,4,4,3,2,2,,,2,1,2,2,2,2,3,2,1,0,4,2,2,1,2,2,3,2,1,1,4,4,2,2,,,1,1,1,1,1,1,1,1,2,1,,,2,1,4,3,4,4,1,1,3,2,1,1,1,1,1,0,1,1,1,1,,,1,1,2,2,3,3,2,2,1,1,,,2,2,3,3,,,,,2,2,,,2,1
ISEE-Middle Level Verbal Reasoning,2,2,4,3,4,4,,,,,1,0,2,2,1,1,4,4,1,0,3,1,1,0,,,2,1,1,1,4,4,1,1,,,2,2,2,2,1,1,,,,,1,1,1,1,3,2,3,3,1,1,3,2,,,1,1,2,1,1,1,,,1,1,,,1,1,3,3,1,1,1,1,,,2,2,,,,,,,2,2,1,1,1,1
ISEE-Upper Level Mathematics Achievement,2,1,6,6,4,3,2,2,,,1,1,2,2,2,2,3,2,2,1,4,2,2,1,1,1,3,2,1,1,4,4,2,2,,,1,1,2,2,2,2,1,1,2,1,1,1,2,1,4,3,5,5,,,2,2,1,1,1,1,1,0,2,2,1,1,1,1,1,1,2,2,4,3,2,2,,,,,2,2,1,1,1,1,,,3,3,,,3,2
ISEE-Upper Level Quantitative Reasoning,2,1,4,4,4,3,2,2,,,1,1,2,2,4,4,3,2,1,0,4,2,2,1,1,1,3,2,1,1,4,4,1,1,,,1,1,1,1,1,1,1,1,2,1,,,2,1,3,2,3,3,,,2,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,3,3,2,2,,,,,2,2,1,1,,,,,2,2,,,2,1
ISEE-Upper Level Verbal Reasoning,2,2,4,3,4,4,,,,,,,2,2,1,1,3,3,1,0,2,0,1,0,,,2,1,1,1,4,4,1,1,,,1,1,2,2,1,1,,,,,1,1,1,1,2,2,2,2,,,2,2,,,1,1,,,,,,,1,1,,,1,1,2,2,1,1,1,1,,,1,1,,,,,,,1,1,1,1,1,1
Kindergarten Readiness,2,0,11,3,3,2,9,2,4,4,2,2,3,3,15,7,14,10,5,2,3,2,4,3,8,7,10,8,5,5,13,13,11,11,8,8,5,5,8,7,6,5,7,4,13,9,10,7,7,5,15,13,11,9,13,11,8,6,10,9,9,7,5,4,1,1,1,1,5,4,2,1,6,2,,,2,2,,,1,1,,,1,1,2,2,,,1,0,,,3,3
MCAT,2,2,1,0,2,2,2,2,5,5,2,2,7,7,11,9,4,4,10,6,4,1,3,0,3,1,2,2,9,9,4,2,3,3,1,1,6,6,6,6,3,3,,,4,3,4,4,,,3,3,4,4,3,3,2,2,1,1,2,1,5,5,4,4,2,1,1,1,1,0,,,1,1,1,1,,,,,,,,,1,0,,,2,2,2,0,2,2
MCAT Chemical and Physical Foundations of Biological Systems,2,2,1,0,1,1,1,1,2,2,1,1,3,3,11,9,3,3,6,3,2,1,1,0,1,1,,,4,4,4,2,2,2,1,1,2,2,4,4,3,3,,,1,0,3,3,,,1,1,2,2,,,1,1,1,1,1,0,2,2,3,3,1,1,2,2,,,,,1,1,1,1,,,,,,,,,,,,,1,1,,,,
"MCAT Psychological, Social, and Biological Foundations of Behavior",2,2,,,1,1,1,1,2,2,1,1,2,2,8,8,1,1,4,2,1,1,1,0,2,1,1,1,6,6,4,2,1,1,,,3,3,5,5,2,2,,,1,0,2,2,,,,,2,2,,,,,,,,,1,1,3,3,3,2,1,1,,,,,1,1,1,1,,,,,,,,,1,0,,,2,2,,,,
Management,2,1,,,1,0,1,1,1,0,,,2,2,3,3,3,0,12,5,3,2,2,1,,,9,6,11,10,12,11,11,11,5,5,14,11,10,7,6,6,8,6,6,5,3,2,1,0,,,2,2,1,1,2,1,1,1,3,3,3,2,1,1,2,1,2,2,2,1,1,1,1,0,2,2,1,1,1,1,2,2,2,2,2,2,1,1,3,2,1,1,,
Marketing,2,0,4,2,2,1,4,0,5,4,2,1,5,4,5,5,5,4,2,0,1,1,2,1,1,1,6,5,6,5,6,6,11,9,6,5,5,5,6,5,7,7,5,3,4,4,3,3,1,1,1,1,3,3,4,4,4,4,1,1,2,2,,,2,2,1,1,2,2,1,0,,,,,1,1,1,1,2,2,3,3,,,2,2,1,1,4,3,,,,
Microbiology,2,2,1,1,2,0,,,8,8,8,7,7,6,10,10,3,3,9,5,5,0,4,0,12,7,8,8,12,12,19,18,13,12,6,6,24,22,18,17,11,8,7,6,9,8,9,6,4,4,2,2,7,6,10,8,1,1,3,1,4,4,5,5,5,5,3,2,1,1,1,1,1,0,1,1,5,4,1,1,1,0,3,3,8,7,4,3,2,1,5,5,2,0,3,2
Music Theory,2,0,2,0,2,0,8,2,4,2,5,4,3,2,6,6,6,3,1,0,3,0,7,4,2,0,2,2,6,5,11,10,6,6,2,2,10,7,9,6,7,6,8,7,8,5,10,4,2,2,3,2,4,2,4,2,4,4,6,1,8,7,5,3,3,2,,,2,2,1,1,2,0,2,2,3,3,2,2,1,1,1,1,1,1,3,2,2,2,4,1,5,2,3,2
NCLEX-RN,2,0,3,2,1,1,3,2,3,1,,,1,1,4,3,1,1,,,4,1,1,1,,,3,3,1,1,5,2,1,1,1,0,1,0,,,4,4,1,1,1,0,4,3,3,0,1,0,2,2,1,1,,,1,1,,,1,1,2,0,1,1,4,2,1,0,1,1,1,1,1,1,1,1,,,3,3,1,0,1,1,1,1,1,1,1,1,4,4
Painting,2,1,5,1,2,2,5,2,3,1,2,1,2,1,3,2,4,1,2,0,2,1,4,3,2,2,4,4,7,7,9,8,6,4,4,4,6,5,6,4,6,4,3,3,1,1,4,3,2,1,2,2,2,2,4,4,1,1,2,2,2,1,6,5,1,1,1,1,,,,,2,1,1,1,,,,,,,1,1,4,4,1,1,3,2,2,0,2,0,4,4
Pathophysiology,2,1,3,0,3,1,4,1,6,3,,,4,3,3,3,3,2,,,1,0,,,6,4,3,2,3,3,10,9,4,3,4,4,5,5,6,5,3,2,1,1,1,0,6,6,1,1,2,2,3,3,2,2,,,1,1,1,1,2,1,,,3,2,,,2,2,,,1,1,1,1,2,2,,,1,1,3,2,1,1,1,1,2,2,1,1,,
Physical Science,2,1,,,,,,,4,3,1,1,3,2,2,2,4,3,6,3,4,1,2,0,2,1,8,6,9,9,28,23,14,14,7,7,13,13,17,16,7,7,8,6,12,8,6,5,2,2,4,4,9,9,5,5,5,3,7,6,2,2,2,2,6,6,2,1,3,3,1,1,2,2,1,1,2,2,3,3,,,1,1,3,3,2,2,4,4,3,1,7,5,3,2
Pre-Calculus,2,2,19,12,9,6,15,10,26,17,29,28,63,62,76,66,62,38,45,20,59,28,54,30,43,35,42,37,37,36,63,56,42,40,28,26,38,36,58,52,31,25,26,21,21,17,26,23,16,15,20,15,24,22,31,29,17,14,25,24,38,34,22,20,21,17,20,14,22,17,13,11,13,12,20,18,20,17,9,8,13,12,15,14,20,20,19,19,21,19,27,16,40,25,31,24
Public Speaking,2,0,10,5,5,3,11,3,12,7,18,17,24,21,23,18,19,12,26,10,23,7,25,12,13,9,23,16,26,25,66,59,34,31,24,20,32,30,44,41,20,17,24,17,36,25,26,18,6,5,9,9,8,8,15,12,3,3,5,4,9,9,5,4,6,4,9,6,5,4,4,2,8,8,4,3,3,3,3,3,2,2,5,5,4,3,4,4,5,4,10,9,3,1,8,6
SAT Writing and Language,2,2,10,7,8,8,7,4,3,3,6,5,26,25,35,33,23,21,25,14,39,20,15,6,4,4,8,8,9,8,25,23,19,19,3,3,10,10,14,14,10,8,3,3,10,7,12,11,3,3,5,5,5,5,9,9,5,4,6,6,11,11,5,5,13,12,13,10,13,12,3,1,5,4,8,6,7,7,2,2,1,1,8,7,3,3,4,4,5,5,4,4,10,8,7,7
SHSAT,2,1,10,8,6,5,4,3,,,1,1,7,7,5,5,8,6,2,0,7,3,4,3,2,2,3,2,1,1,6,6,3,3,2,1,6,5,5,5,2,2,4,3,7,6,5,2,6,4,6,5,6,5,3,3,6,4,1,1,3,3,2,1,4,4,4,3,3,3,1,1,1,1,5,5,2,2,2,2,,,3,3,1,1,,,,,2,2,1,0,3,2
SSAT- Elementary Level,2,1,13,10,8,7,5,4,,,1,1,4,4,7,7,8,6,6,2,5,2,3,2,1,1,4,2,3,3,10,8,5,5,3,3,6,5,7,6,3,2,3,2,4,3,8,5,5,3,7,6,6,5,2,1,6,5,2,2,1,1,3,2,3,2,2,2,3,3,2,2,2,2,5,5,2,2,1,1,,,1,1,1,1,1,1,,,2,2,,,2,1
SSAT- Middle Level,2,1,15,10,8,7,4,3,,,1,1,3,3,5,5,8,7,5,2,4,2,3,2,1,1,5,3,3,3,7,6,3,3,1,1,6,5,7,6,2,2,3,2,4,3,5,4,7,5,6,5,7,6,3,2,5,4,1,1,3,3,4,3,2,2,1,1,2,2,1,1,2,2,7,7,2,2,1,1,,,1,1,1,1,,,,,2,2,1,1,1,1
SSAT- Upper Level,2,1,15,11,7,6,4,3,1,1,1,1,4,4,5,5,8,7,4,2,4,2,3,2,1,1,5,3,2,2,7,6,4,4,1,1,5,4,7,7,2,2,3,2,4,3,4,3,6,4,4,3,6,5,2,1,5,5,1,1,2,2,2,1,2,2,1,1,1,1,1,1,1,1,6,6,2,2,1,1,,,1,1,2,2,1,1,,,4,4,1,1,2,1
Study Skills And Organization,2,0,4,3,8,4,11,3,13,5,8,7,16,14,25,22,18,12,19,7,10,4,12,2,14,13,30,21,40,36,56,52,42,39,30,29,37,32,40,35,24,21,23,18,21,17,17,11,9,7,17,15,18,15,16,16,6,4,9,7,13,13,12,10,11,3,7,4,22,15,8,5,12,9,9,8,17,13,17,16,13,8,25,24,29,27,36,31,35,31,38,30,35,28,34,29
TACHS,2,1,11,8,6,5,4,3,,,1,1,8,8,6,6,5,4,2,0,6,3,3,2,1,1,3,2,1,1,6,6,2,2,1,0,5,4,5,5,1,1,2,1,5,4,2,0,6,4,4,3,7,6,,,2,2,1,1,1,1,1,1,1,1,3,2,3,3,1,1,1,1,4,4,3,3,4,4,,,1,1,1,1,,,,,,,,,2,1
ACCUPLACER WritePlacer ,1,1,3,3,3,3,,,,,1,1,,,,,2,2,3,1,4,1,1,1,,,1,1,,,2,2,1,1,,,3,3,4,4,,,1,1,,,2,1,,,3,2,,,1,1,3,3,,,2,2,2,2,3,3,1,0,1,1,,,,,3,3,1,1,,,,,,,,,,,,,,,1,0,1,1
ACT English,1,1,5,2,3,3,2,0,2,0,3,2,16,15,19,18,15,11,10,8,12,5,7,1,3,3,8,5,13,13,24,21,19,19,8,7,9,9,12,11,12,9,3,2,12,9,13,12,4,4,10,9,9,9,6,6,9,6,10,8,16,16,9,9,12,11,12,9,13,12,5,4,8,8,8,7,7,7,3,3,5,5,6,6,5,5,3,3,5,5,5,5,8,6,5,5
ACT Reading,1,0,4,3,3,3,1,0,3,1,4,3,17,15,18,17,15,11,9,7,10,5,6,2,4,3,8,4,11,11,20,18,15,15,7,6,7,7,13,12,6,5,2,2,8,6,10,9,1,0,5,4,4,3,4,4,6,5,7,7,11,11,4,4,11,10,13,9,13,13,1,1,7,7,8,7,3,3,5,5,4,4,5,5,4,4,4,4,4,4,5,5,7,5,7,7
ACT Science,1,0,1,1,1,1,4,2,2,0,4,4,14,13,16,15,10,6,9,7,12,6,5,0,4,4,8,5,7,7,16,13,11,11,7,7,7,7,11,11,4,4,3,2,9,8,9,7,3,3,5,4,5,5,7,7,3,2,2,2,14,14,8,8,15,13,10,7,13,13,4,4,7,7,12,10,4,4,2,2,1,1,6,6,4,4,5,5,1,1,8,6,7,5,8,7
ACT Writing,1,0,6,1,1,1,8,2,3,3,2,2,5,5,13,12,11,10,11,7,10,4,3,1,5,5,9,7,9,8,30,26,13,13,9,7,11,9,14,11,8,7,5,5,9,6,13,10,4,2,13,11,15,12,9,8,9,6,7,7,18,17,8,7,17,14,13,9,14,12,4,4,8,7,12,10,10,10,4,4,1,1,7,7,8,8,11,10,4,3,8,8,9,8,15,13
ANCC - Psychiatric-Mental Health Nurse Practitioner (Across the Lifespan) Certification (PMHNP),1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,
