Subject,Run_Rate,Smoothed_Target,Max_Capacity,Gap_Pct,Raw_Gap,Coverage_Pct,Needs_External_Levers,BTS_Total,Is_Adjusted,Adjusted_Months,Original_Model_Total,Apr_Original,May_Original,Jun_Original,Jul_Original,Aug_Original,Sep_Original,Oct_Original,Apr_Smoothed,May_Smoothed,Jun_Smoothed,Jul_Smoothed,Aug_Smoothed,Sep_Smoothed,Oct_Smoothed,Apr_ManualOverride,May_ManualOverride,Jun_ManualOverride,Jul_ManualOverride,Aug_ManualOverride,Sep_ManualOverride,Oct_ManualOverride,Mar_Actual,Mar_Forecast,Total_Contracted,Utilized_30d,Util_Rate,Util_Rate_Current,Util_Rate_Trailing,Util_Trend,Util_Trend_Delta,Util_Recent_Contracted,Util_Recent_Utilized,P90_NAT_Hours,Problem_Type,Category,Tier
European History,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,94.0,78.0,83.0,,83.0,,,0.0,0.0,48.68333,On Track,High School,NICHE
Immunology,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,70.0,53.0,76.0,,75.7,,,0.0,0.0,3.678329,On Track,College,NICHE
Computer Architecture,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,35.0,29.0,0.0,0.0,85.3,down,-85.3,1.0,0.0,25.874997,Under-Used,College,NICHE
Sketchup,1.0,1,1.0,0.0,0.0,100,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,21.0,15.0,100.0,100.0,68.4,up,31.6,2.0,2.0,88.53333,On Track,Technology,NICHE
High School Level American Literature,5.0,1,6.0,-80.0,28.0,500,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,305.0,249.0,82.0,,81.6,,,0.0,0.0,5.5,On Track,High School,NICHE
Relational Databases,6.0,1,7.0,-83.0,35.0,600,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,111.0,92.0,50.0,50.0,84.8,down,-34.8,6.0,3.0,,On Track,College,NICHE
IB Extended Essay,3.0,1,4.0,-67.0,14.0,300,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,111.0,92.0,50.0,50.0,83.5,down,-33.5,2.0,1.0,21.36666,On Track,IB,NICHE
CISSP,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,11.0,6.0,0.0,0.0,60.0,down,-60.0,1.0,0.0,,Over-Supplied,Professional/Cert,NICHE
Theology,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,93.0,71.0,76.0,,76.3,,,0.0,0.0,21.14333,On Track,College,NICHE
C,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,109.0,90.0,0.0,0.0,83.3,down,-83.3,1.0,0.0,,Over-Supplied,College,NICHE
AP Art History,4.0,1,5.0,-75.0,21.0,400,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,65.0,45.0,69.0,,69.2,,,0.0,0.0,3.9,On Track,AP,NICHE
Epidemiology,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,49.0,40.0,82.0,,81.6,,,0.0,0.0,4.36666,On Track,Other,NICHE
Quantitative Methods,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,81.0,65.0,0.0,0.0,82.3,down,-82.3,2.0,0.0,43.864997,Under-Used,College,NICHE
Cooking,2.0,1,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,119.0,97.0,82.0,,81.5,,,0.0,0.0,,On Track,Other,NICHE
Trumpet,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,14.0,10.0,71.0,,71.4,,,0.0,0.0,,On Track,Arts & Music,NICHE
Audio Engineering,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,23.0,18.0,78.0,,78.3,,,0.0,0.0,41.95,On Track,Arts & Music,NICHE
Cardiology,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,48.0,40.0,83.0,,83.3,,,0.0,0.0,,On Track,College,NICHE
Drum and Percussion,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,25.0,23.0,92.0,,92.0,,,0.0,0.0,,On Track,Other,NICHE
Numerical Analysis,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,28.0,27.0,96.0,,96.4,,,0.0,0.0,3.55,On Track,College,NICHE
High School Accounting,5.0,1,6.0,-80.0,28.0,500,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,163.0,125.0,33.0,33.3,79.2,down,-45.9,9.0,3.0,1.61666,Over-Supplied,High School,NICHE
Evolutionary Biology,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,152.0,127.0,84.0,,83.6,,,0.0,0.0,24.0,On Track,College,NICHE
Fiction Writing,15.0,1,18.0,-93.0,98.0,1500,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,447.0,355.0,0.0,0.0,79.8,down,-79.8,2.0,0.0,,Over-Supplied,College,NICHE
College Geography,2.0,1,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,47.0,29.0,0.0,0.0,65.9,down,-65.9,3.0,0.0,16.85,Over-Supplied,College,NICHE
Business Enterprise,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,57.0,49.0,86.0,,86.0,,,0.0,0.0,90.6,On Track,Other,NICHE
TEFL,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,68.0,50.0,74.0,,73.5,,,0.0,0.0,,On Track,Professional/Cert,NICHE
Salesforce,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,28.0,15.0,54.0,,53.6,,,0.0,0.0,7.17,On Track,Other,NICHE
IB Economics,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,44.0,39.0,0.0,0.0,90.7,down,-90.7,1.0,0.0,,Over-Supplied,IB,NICHE
Newtonian Mechanics,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,52.0,45.0,87.0,,86.5,,,0.0,0.0,,On Track,Other,NICHE
LSAT Argumentative Writing,3.0,1,4.0,-67.0,14.0,300,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,85.0,64.0,100.0,100.0,74.7,up,25.3,2.0,2.0,,On Track,Test Prep,NICHE
IB Global Politics,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,42.0,34.0,100.0,100.0,80.5,up,19.5,1.0,1.0,0.15,On Track,IB,NICHE
IB Environmental Systems and Societies,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,14.0,11.0,79.0,,78.6,,,0.0,0.0,,On Track,IB,NICHE
Turkish,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,4.0,2.0,50.0,,50.0,,,0.0,0.0,53.76666,On Track,Language,NICHE
ACT,8.0,3,10.0,-66.0,37.0,295,False,19.0,True,['Apr'],5.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,14.0,3.0,0.0,0.0,0.0,1.0,1.0,14.0,,,,,,,12.0,13.0,574.0,489.0,61.0,60.9,86.2,down,-25.3,23.0,14.0,34.26333,On Track,Test Prep,LOW
High School English,101.0,1,121.0,-99.0,700.0,10100,False,7.0,True,['Apr'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,,,,,,,,1.0,1978.0,1391.0,40.0,40.4,72.1,down,-31.7,109.0,44.0,24.0,Under-Used,High School,NICHE
Calculus 1,28.0,1,34.0,-98.0,193.0,6533,False,3.0,True,['Apr'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,,19.0,2.0,1165.0,941.0,58.0,58.1,81.4,down,-23.3,31.0,18.0,28.08333,On Track,Other,NICHE
Conversational French,4.0,2,5.0,-39.0,11.0,165,False,17.0,True,['Apr'],10.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,7.0,2.0,0.0,0.0,2.0,3.0,3.0,7.0,,,,,,,3.0,2.0,179.0,139.0,25.0,25.0,78.9,down,-53.9,4.0,1.0,26.0,Under-Used,Language,LOW
Korean,2.0,1,2.0,-71.0,10.0,350,False,4.0,True,['Apr'],3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,3.0,1.0,50.0,41.0,33.0,33.3,85.1,down,-51.8,3.0,1.0,27.6,Under-Used,Language,NICHE
Pre-Algebra,44.0,1,53.0,-97.0,298.0,3080,False,10.0,True,['Apr'],2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,,,,,,,38.0,4.0,2334.0,1875.0,60.0,60.0,81.0,down,-21.0,75.0,45.0,17.37166,On Track,Middle School,LOW
Conversational Italian,2.0,1,2.0,-93.0,13.0,1400,False,1.0,False,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,0.0,2.0,56.0,45.0,100.0,100.0,79.6,up,20.4,2.0,2.0,24.0,On Track,Language,NICHE
Phonics,72.0,1,86.0,-99.0,501.0,16800,False,3.0,True,['Apr'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,0.0,2343.0,1761.0,48.0,47.6,76.2,down,-28.6,82.0,39.0,24.014994,Under-Used,Elementary,NICHE
GRE,1.0,1,1.0,-71.0,5.0,350,False,2.0,True,['Apr'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,0.0,1.0,127.0,116.0,0.0,0.0,92.1,down,-92.1,1.0,0.0,33.474995,Under-Used,Test Prep,NICHE
College Statistics,4.0,1,5.0,-82.0,23.0,560,False,5.0,True,['Apr'],1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,,,,,,,2.0,5.0,329.0,281.0,40.0,40.0,86.1,down,-46.1,5.0,2.0,24.0,Under-Used,College,NICHE
TEAS,1.0,1,1.0,-71.0,5.0,350,False,2.0,True,['Apr'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,0.0,1.0,63.0,48.0,76.0,,76.2,,,0.0,0.0,24.05,On Track,Test Prep,NICHE
High School Writing,95.0,1,114.0,-100.0,662.0,22167,False,3.0,False,,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,,,,,,,,,1.0,1561.0,1092.0,37.0,36.5,72.6,down,-36.1,115.0,42.0,21.219996,Over-Supplied,High School,NICHE
Grade 10 Math,12.0,1,14.0,-95.0,80.0,2100,False,4.0,True,['Apr'],3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,,,,,,,,1.0,785.0,654.0,33.0,33.3,83.9,down,-50.6,9.0,3.0,48.9,Under-Used,High School,NICHE
College Math,5.0,1,6.0,-91.0,32.0,1167,False,3.0,True,['Apr'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,,1.0,1.0,697.0,596.0,50.0,50.0,85.7,down,-35.7,4.0,2.0,24.863327,On Track,College,NICHE
GMAT,1.0,1,1.0,43.0,-3.0,70,True,10.0,True,['Apr'],8.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,,,,,,,0.0,2.0,62.0,55.0,89.0,,88.7,,,0.0,0.0,26.866665,True Supply Problem,Test Prep,LOW
High School Science,22.0,1,26.0,-98.0,151.0,5133,False,3.0,True,['Apr'],1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,,,,,,,,2.0,986.0,799.0,10.0,10.0,81.8,down,-71.8,10.0,1.0,5.76666,Over-Supplied,High School,NICHE
SHSAT,5.0,1,6.0,-97.0,34.0,3500,False,1.0,True,['Apr'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,8.0,1.0,164.0,134.0,78.0,77.8,82.2,down,-4.4,18.0,14.0,55.06333,On Track,Test Prep,NICHE
GED,8.0,1,10.0,-98.0,55.0,5600,False,1.0,True,['Apr'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,10.0,2.0,537.0,437.0,71.0,70.6,81.7,down,-11.1,17.0,12.0,27.0,On Track,Test Prep,NICHE
Business Calculus,2.0,1,2.0,-57.0,8.0,233,False,6.0,True,['Apr'],5.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,,,,,,,0.0,3.0,103.0,78.0,0.0,0.0,76.5,down,-76.5,1.0,0.0,16.359994,Over-Supplied,College,NICHE
DAT,1.0,1,1.0,0.0,0.0,100,False,7.0,True,['Apr'],6.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,9.0,8.0,100.0,100.0,87.5,up,12.5,1.0,1.0,42.043328,On Track,Test Prep,NICHE
HESI - Health Education Systems Incorporated,1.0,1,1.0,-86.0,6.0,700,False,1.0,True,['Apr'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,On Track,Other,NICHE
IBEW - International Brotherhood of Electrical Workers,1.0,1,1.0,-86.0,6.0,700,False,1.0,True,['Apr'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,On Track,Other,NICHE
NCLEX-Registed Nurse,1.0,1,1.0,-86.0,6.0,700,False,1.0,True,['Apr'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,On Track,Professional/Cert,NICHE
OAT,1.0,1,1.0,-71.0,5.0,350,False,2.0,True,['Apr'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,50.0,,50.0,,,0.0,0.0,40.61833,On Track,Test Prep,NICHE
Orton Gillingham Reading,1.0,1,1.0,-29.0,2.0,140,False,5.0,True,['Apr'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,On Track,Other,NICHE
