Subject,Run_Rate,Smoothed_Target,Max_Capacity,Gap_Pct,Raw_Gap,Coverage_Pct,Needs_External_Levers,BTS_Total,Is_Adjusted,Adjusted_Months,Original_Model_Total,Apr_Original,May_Original,Jun_Original,Jul_Original,Aug_Original,Sep_Original,Oct_Original,Apr_Smoothed,May_Smoothed,Jun_Smoothed,Jul_Smoothed,Aug_Smoothed,Sep_Smoothed,Oct_Smoothed,Apr_ManualOverride,May_ManualOverride,Jun_ManualOverride,Jul_ManualOverride,Aug_ManualOverride,Sep_ManualOverride,Oct_ManualOverride,Mar_Actual,Mar_Forecast,Total_Contracted,Utilized_30d,Util_Rate,Util_Rate_Current,Util_Rate_Trailing,Util_Trend,Util_Trend_Delta,Util_Recent_Contracted,Util_Recent_Utilized,Auto_Assignable,Opps_Responded,Assigns,P90_NAT_Hours,Tutor_Hours_Util_Pct,Category,Tier,P90_Goal,Primary_Action,Stress_Flags,Problem_Type
Materials Science,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,41.0,34.0,0.0,0.0,82.9,down,-82.9,0.0,0.0,,,,1.141666,48.52307157839538,College,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Criminal Law,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,56.0,44.0,100.0,100.0,78.2,up,21.8,1.0,1.0,,,,24.0,46.670100509090915,College,NICHE,72,On Track,['idle_pool'],On Track
AP Seminar,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,58.0,52.0,0.0,0.0,89.7,down,-89.7,0.0,0.0,,,,15.41666,48.77454044173648,AP,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Biomechanics,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,40.0,32.0,0.0,0.0,80.0,down,-80.0,0.0,0.0,,,,33.18666,40.4843484228474,College,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Quantum Physics,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,70.0,58.0,0.0,0.0,82.9,down,-82.9,0.0,0.0,,,,19.0,46.107582047812365,College,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
UNITY,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,10.0,6.0,0.0,0.0,60.0,down,-60.0,0.0,0.0,,,,,38.97107159763314,Other,NICHE,72,On Track,"['idle_pool', 'new_tutor_stuck']",On Track
Kinesiology,2.0,1,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,61.0,51.0,50.0,50.0,84.7,down,-34.7,2.0,1.0,,,,2.58333,37.71094001706485,College,NICHE,72,On Track,['idle_pool'],On Track
International Business,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,61.0,51.0,0.0,0.0,83.6,down,-83.6,0.0,0.0,,,,,43.64052595673877,College,NICHE,72,On Track,"['idle_pool', 'new_tutor_stuck']",On Track
Nutrition,2.0,1,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,139.0,114.0,0.0,0.0,82.0,down,-82.0,0.0,0.0,,,,64.98333,42.85695735791091,College,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Data Management,2.0,1,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,100.0,81.0,0.0,0.0,82.7,down,-82.7,2.0,0.0,,,,,49.525836971608825,College,NICHE,72,On Track,"['idle_pool', 'new_tutor_stuck']",On Track
IB Language A: Language and Literature,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,21.0,19.0,0.0,0.0,90.5,down,-90.5,0.0,0.0,,,,336.96666,48.77026104959075,IB,NICHE,72,Investigate — Wait Times,"['idle_pool', 'new_tutor_stuck', 'critical_wait']",On Track — High Wait
Agricultural Science,2.0,1,2.0,-36.0,5.0,156,False,9.0,True,['Apr'],9.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,1.0,59.0,50.0,0.0,0.0,84.7,down,-84.7,0.0,0.0,0.0,0.0,0.0,65.64333,46.22838952095808,College,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Real Analysis,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,64.0,50.0,0.0,0.0,78.1,down,-78.1,0.0,0.0,,,,84.86666,53.58919992038216,College,NICHE,72,Investigate — Wait Times,['new_tutor_stuck'],On Track — High Wait
Operating Systems,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,59.0,48.0,0.0,0.0,82.8,down,-82.8,1.0,0.0,,,,24.0,40.07817583497053,College,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Ethics,4.0,1,5.0,-75.0,21.0,400,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,116.0,94.0,0.0,0.0,81.0,down,-81.0,0.0,0.0,,,,,43.64059229508196,College,NICHE,72,On Track,"['idle_pool', 'new_tutor_stuck']",On Track
Discrete Structures,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,51.0,46.0,0.0,0.0,90.2,down,-90.2,0.0,0.0,,,,121.53333,54.68639856801909,College,NICHE,72,Investigate — Wait Times,"['new_tutor_stuck', 'high_wait']",On Track — High Wait
Autodesk Maya,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,12.0,7.0,0.0,0.0,58.3,down,-58.3,0.0,0.0,,,,18.36666,39.48665893271462,Technology,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Supply Chain Management,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,47.0,39.0,0.0,0.0,84.8,down,-84.8,1.0,0.0,,,,12.53333,42.71784541768045,College,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
IB Business & Management,3.0,1,4.0,-67.0,14.0,300,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,57.0,52.0,100.0,100.0,90.9,up,9.1,2.0,2.0,,,,68.386664,38.92357516279069,IB,NICHE,72,On Track,['idle_pool'],On Track
European History,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,95.0,78.0,0.0,0.0,82.1,down,-82.1,0.0,0.0,,,,48.68333,46.24464565076623,High School,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Immunology,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,70.0,53.0,0.0,0.0,75.7,down,-75.7,0.0,0.0,,,,3.678329,47.92195750915751,College,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Computer Architecture,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,35.0,29.0,0.0,0.0,85.3,down,-85.3,1.0,0.0,,,,25.874997,43.48717701575532,College,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Sketchup,1.0,1,1.0,0.0,0.0,100,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,21.0,15.0,100.0,100.0,68.4,up,31.6,2.0,2.0,,,,88.53333,14.38873571428571,Technology,NICHE,72,Investigate — Wait Times,['idle_pool'],On Track — High Wait
High School Level American Literature,5.0,1,6.0,-80.0,28.0,500,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,307.0,251.0,0.0,0.0,81.8,down,-81.8,0.0,0.0,,,,5.5,49.62415291209453,High School,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Relational Databases,6.0,1,7.0,-83.0,35.0,600,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,112.0,92.0,50.0,50.0,84.0,down,-34.0,6.0,3.0,,,,,38.67383172945983,College,NICHE,72,On Track,['idle_pool'],On Track
IB Extended Essay,3.0,1,4.0,-67.0,14.0,300,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,110.0,91.0,50.0,50.0,83.3,down,-33.3,2.0,1.0,,,,21.36666,47.9126879924953,IB,NICHE,72,On Track,['idle_pool'],On Track
CISSP,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,11.0,6.0,0.0,0.0,60.0,down,-60.0,1.0,0.0,,,,,19.54179626168224,Professional/Cert,NICHE,72,On Track,"['idle_pool', 'new_tutor_stuck']",On Track
Theology,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,93.0,71.0,0.0,0.0,76.3,down,-76.3,0.0,0.0,,,,21.14333,39.22545394402035,College,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
C,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,110.0,91.0,0.0,0.0,83.5,down,-83.5,1.0,0.0,,,,,38.06263932312651,College,NICHE,72,On Track,"['idle_pool', 'new_tutor_stuck']",On Track
AP Art History,4.0,1,5.0,-75.0,21.0,400,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,64.0,44.0,0.0,0.0,68.8,down,-68.8,0.0,0.0,,,,3.9,48.337782626100875,AP,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Epidemiology,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,49.0,40.0,0.0,0.0,81.6,down,-81.6,0.0,0.0,,,,4.36666,49.46771828073993,Other,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Quantitative Methods,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,82.0,66.0,0.0,0.0,82.5,down,-82.5,2.0,0.0,,,,43.864997,52.86409196732471,College,NICHE,72,Reduce Forecast,['new_tutor_stuck'],Over-Supplied
Trumpet,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,14.0,10.0,0.0,0.0,71.4,down,-71.4,0.0,0.0,,,,,36.65594954407294,Arts & Music,NICHE,72,On Track,"['idle_pool', 'new_tutor_stuck']",On Track
Audio Engineering,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,23.0,18.0,0.0,0.0,78.3,down,-78.3,0.0,0.0,,,,41.95,43.918552637614674,Arts & Music,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Cardiology,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,48.0,40.0,0.0,0.0,83.3,down,-83.3,0.0,0.0,,,,,50.42799341772152,College,NICHE,72,On Track,['new_tutor_stuck'],On Track
Drum and Percussion,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,25.0,23.0,0.0,0.0,92.0,down,-92.0,0.0,0.0,,,,,27.043523885350318,Other,NICHE,72,On Track,"['idle_pool', 'new_tutor_stuck']",On Track
Numerical Analysis,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,28.0,27.0,0.0,0.0,96.4,down,-96.4,0.0,0.0,,,,3.55,42.401076462196855,College,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
High School Accounting,5.0,1,6.0,-80.0,28.0,500,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,165.0,126.0,33.0,33.3,78.8,down,-45.5,9.0,3.0,,,,1.61666,41.756349071901,High School,NICHE,72,On Track,['idle_pool'],On Track
Evolutionary Biology,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,151.0,126.0,0.0,0.0,83.4,down,-83.4,0.0,0.0,,,,24.0,46.07570853964837,College,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Fiction Writing,15.0,1,18.0,-93.0,98.0,1500,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,448.0,356.0,0.0,0.0,79.8,down,-79.8,2.0,0.0,0.0,6.0,2.0,,45.70270891202234,College,NICHE,72,On Track,"['idle_pool', 'new_tutor_stuck']",On Track
College Geography,2.0,1,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,48.0,30.0,0.0,0.0,66.7,down,-66.7,3.0,0.0,,,,16.85,48.454384758580574,College,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Business Enterprise,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,57.0,49.0,0.0,0.0,86.0,down,-86.0,0.0,0.0,,,,90.6,52.89014947916667,Other,NICHE,72,Investigate — Wait Times,['new_tutor_stuck'],On Track — High Wait
TEFL,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,68.0,50.0,0.0,0.0,73.5,down,-73.5,0.0,0.0,0.0,7.0,1.0,,51.59118780487805,Professional/Cert,NICHE,72,On Track,['new_tutor_stuck'],On Track
Salesforce,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,28.0,15.0,0.0,0.0,53.6,down,-53.6,0.0,0.0,,,,7.17,41.35928934426229,Other,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
IB Economics,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,44.0,39.0,0.0,0.0,90.7,down,-90.7,1.0,0.0,,,,,53.1958245210728,IB,NICHE,72,On Track,['new_tutor_stuck'],On Track
Newtonian Mechanics,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,53.0,46.0,0.0,0.0,86.8,down,-86.8,0.0,0.0,,,,,45.82945172749392,Other,NICHE,72,On Track,"['idle_pool', 'new_tutor_stuck']",On Track
LSAT Argumentative Writing,3.0,1,4.0,-67.0,14.0,300,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,85.0,64.0,100.0,100.0,74.7,up,25.3,2.0,2.0,1.0,19.0,10.0,,54.0798622329428,Test Prep,NICHE,72,On Track,[],On Track
IB Global Politics,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,43.0,34.0,100.0,100.0,78.6,up,21.4,1.0,1.0,,,,0.15,52.97671579943236,IB,NICHE,72,On Track,[],On Track
IB Environmental Systems and Societies,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,14.0,11.0,0.0,0.0,78.6,down,-78.6,0.0,0.0,,,,,46.98037391304348,IB,NICHE,72,On Track,"['idle_pool', 'new_tutor_stuck']",On Track
Turkish,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,4.0,2.0,0.0,0.0,50.0,down,-50.0,0.0,0.0,,,,53.76666,19.402985074626862,Language,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
ACT,8.0,3,10.0,-66.0,37.0,295,False,19.0,True,['Apr'],5.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,14.0,3.0,0.0,0.0,0.0,1.0,1.0,14.0,,,,,,,12.0,13.0,580.0,493.0,64.0,63.6,85.8,down,-22.2,22.0,14.0,2.0,46.0,13.0,34.48333,47.39502317563685,Test Prep,LOW,60,On Track,['idle_pool'],On Track
High School English,101.0,1,121.0,-99.0,700.0,10100,False,7.0,True,['Apr'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,,,,,,,,1.0,1983.0,1393.0,40.0,40.4,72.0,down,-31.6,109.0,44.0,15.0,178.0,26.0,24.0,43.712027201105016,High School,NICHE,72,On Track,['idle_pool'],On Track
Calculus 1,28.0,1,34.0,-98.0,193.0,6533,False,3.0,True,['Apr'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,,19.0,2.0,1168.0,943.0,58.0,58.1,81.4,down,-23.3,31.0,18.0,3.0,131.0,27.0,27.846664,41.68629587727137,Other,NICHE,72,On Track,['idle_pool'],On Track
Conversational French,4.0,2,5.0,-39.0,11.0,165,False,17.0,True,['Apr'],10.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,7.0,2.0,0.0,0.0,2.0,3.0,3.0,7.0,,,,,,,3.0,2.0,181.0,140.0,25.0,25.0,78.5,down,-53.5,4.0,1.0,,,,26.0,43.14196807841239,Language,LOW,60,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Korean,2.0,1,2.0,-71.0,10.0,350,False,4.0,True,['Apr'],3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,3.0,1.0,50.0,41.0,33.0,33.3,85.1,down,-51.8,3.0,1.0,,,,27.6,37.66159840166783,Language,NICHE,72,On Track,['idle_pool'],On Track
Pre-Algebra,44.0,1,53.0,-97.0,298.0,3080,False,10.0,True,['Apr'],2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,,,,,,,38.0,4.0,2348.0,1884.0,58.0,57.7,81.0,down,-23.3,78.0,45.0,10.0,250.0,36.0,17.37166,43.87526485536778,Middle School,LOW,60,On Track,['idle_pool'],On Track
Conversational Italian,2.0,1,2.0,-93.0,13.0,1400,False,1.0,False,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,0.0,2.0,55.0,44.0,100.0,100.0,79.2,up,20.8,2.0,2.0,,,,24.0,43.408619604974405,Language,NICHE,72,On Track,['idle_pool'],On Track
Phonics,72.0,1,86.0,-99.0,501.0,16800,False,3.0,True,['Apr'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,0.0,2353.0,1766.0,46.0,46.4,76.1,down,-29.7,84.0,39.0,14.0,86.0,17.0,24.014994,45.17798799727983,Elementary,NICHE,72,On Track,['idle_pool'],On Track
GRE,1.0,1,1.0,-71.0,5.0,350,False,2.0,True,['Apr'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,0.0,1.0,126.0,115.0,0.0,0.0,92.0,down,-92.0,1.0,0.0,0.0,1.0,0.0,33.474995,50.187358303143625,Test Prep,NICHE,72,Reduce Forecast,['new_tutor_stuck'],Over-Supplied
College Statistics,4.0,1,5.0,-82.0,23.0,560,False,5.0,True,['Apr'],1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,,,,,,,2.0,5.0,331.0,282.0,40.0,40.0,85.9,down,-45.9,5.0,2.0,1.0,193.0,45.0,24.0,48.033399024765814,College,NICHE,72,On Track,['idle_pool'],On Track
TEAS,1.0,1,1.0,-71.0,5.0,350,False,2.0,True,['Apr'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,0.0,1.0,63.0,48.0,0.0,0.0,76.2,down,-76.2,0.0,0.0,,,,24.05,46.44519928205128,Test Prep,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
High School Writing,95.0,1,114.0,-100.0,662.0,22167,False,3.0,False,,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,,,,,,,,,1.0,1566.0,1094.0,36.0,36.2,72.6,down,-36.3,116.0,42.0,16.0,186.0,28.0,21.219996,43.29322040715521,High School,NICHE,72,On Track,['idle_pool'],On Track
Grade 10 Math,12.0,1,14.0,-95.0,80.0,2100,False,4.0,True,['Apr'],3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,,,,,,,,1.0,784.0,653.0,33.0,33.3,83.9,down,-50.5,9.0,3.0,0.0,80.0,11.0,48.9,44.15434741983163,High School,NICHE,72,On Track,['idle_pool'],On Track
College Math,5.0,1,6.0,-91.0,32.0,1167,False,3.0,True,['Apr'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,,1.0,1.0,697.0,596.0,50.0,50.0,85.7,down,-35.7,4.0,2.0,0.0,52.0,4.0,24.863327,45.83706281500099,College,NICHE,72,On Track,['idle_pool'],On Track
GMAT,1.0,1,1.0,43.0,-3.0,70,True,10.0,True,['Apr'],8.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,,,,,,,0.0,2.0,62.0,55.0,0.0,0.0,88.7,down,-88.7,0.0,0.0,,,,26.866665,45.658709335947066,Test Prep,LOW,60,Investigate — Capacity Available,"['idle_pool', 'new_tutor_stuck']",Under-Used
High School Science,22.0,1,26.0,-98.0,151.0,5133,False,3.0,True,['Apr'],1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,,,,,,,,2.0,987.0,799.0,10.0,10.0,81.7,down,-71.7,10.0,1.0,3.0,5.0,4.0,5.76666,43.66755845188544,High School,NICHE,72,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
SHSAT,5.0,1,6.0,-97.0,34.0,3500,False,1.0,True,['Apr'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,8.0,1.0,166.0,134.0,78.0,77.8,81.1,down,-3.3,18.0,14.0,2.0,6.0,4.0,55.06333,55.5127152693857,Test Prep,NICHE,72,On Track,[],On Track
